@relation 'all-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.Remove-R1,9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Survived {0,1}
@attribute Pclass numeric
@attribute Sex {male,female}
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Embarked {S,C,Q}

@data
1,0,male,0.497361,0,0,0.060508,C
0,1,male,0.296306,0,0,0.013761,S
1,0.5,female,0.434531,0,0,0.040989,S
0,1,male,0.271174,0,0,0.014151,S
0,0.5,male,0.371701,0,0,0.025374,S
0,1,male,?,0.125,0,0.015127,Q
1,0,female,0.384267,0.125,0,0.221098,C
1,1,female,0.334004,0,0,0.015469,S
0,0.5,male,0.522493,0.125,0,0.0527,S
1,0,female,0.396833,0,0,0.148911,C
0,0.5,male,0.371701,0,0,0.020495,S
1,1,male,0.195778,0,0,0.015713,S
0,0.5,male,0.334004,0,0,0.025374,S
0,1,male,0.635587,0,0,0.015713,S
0,1,male,?,0,0,0.015412,S
1,0,male,0.472229,0.125,0,0.175668,S
0,1,male,0.271174,0,0,0.01825,S
1,0.5,male,0.233476,0,0,0.020495,S
0,1,male,0.252325,0,0,0.014151,S
0,0.5,male,0.22091,0,0,0.025374,S
0,1,female,?,0.375,0.166667,0.049708,S
1,0,female,0.434531,0.125,0,0.162932,S
0,1,male,0.359135,0,0,0.015176,S
0,0.5,male,0.736115,0,0,0.02635,S
1,1,female,0.057552,0.5,0.333333,0.061264,S
0,0.5,male,0.296306,0,0,0.020495,S
0,1,female,?,0,0,0.014737,S
0,0.5,male,0.547625,0.125,0,0.050749,S
1,0.5,female,0.09525,0,0.333333,0.051237,S
0,0.5,male,0.233476,0,0,0.020495,S
0,0.5,male,0.409399,0,0,0.023959,S
0,1,female,?,0.125,0,0.028213,C
1,1,female,?,0.125,0,0.030254,Q
0,0.5,male,0.359135,0,0,0.020495,S
0,1,male,0.271174,0,0,0.013907,S
0,1,male,0.371701,0,0,0.014102,C
0,0,male,0.547625,0.25,0,0.175668,Q
0,1,female,0.308872,0,0,0.015176,S
1,0.5,female,0.296306,0,0.333333,0.028302,S
1,0,male,0.459663,0.125,0.166667,0.102579,S
0,0.5,male,0.673285,0.125,0,0.050749,S
0,1,male,?,0,0,0.014151,S
0,1,female,0.359135,0.125,0.166667,0.020421,S
0,0,male,0.773813,0,0,0.051822,S
0,1,male,0.371701,0.125,0,0.031425,S
0,1,female,0.509927,0,0.333333,0.039452,S
1,1,female,0.359135,0,0.333333,0.029758,C
1,0,female,?,0,0,0.154588,C
1,0,female,0.371701,0,0,0.168837,S
1,0,female,0.434531,0,0,1,C
1,0.5,female,0.623021,0,0.166667,0.050749,S
0,1,male,?,0,0,0.015127,Q
1,1,male,0.03242,0.5,0.333333,0.061264,S
0,0,male,0.648153,0.125,0.166667,0.155466,S
0,0,male,0.497361,0,0,0,S
0,1,female,?,0,0,0.015127,Q
0,0.5,male,0.447097,0,0,0.020495,S
0,1,male,0.195778,0.5,0.166667,0.077465,S
1,1,male,0.308872,0.125,0,0.015176,S
1,0,female,0.723549,0,0.166667,0.299539,S
1,0,female,0.434531,0,0,0.264739,S
0,0,male,?,0,0,0.060508,S
1,1,male,0.308872,0,0,0,S
1,0.5,female,0.509927,0,0.166667,0.038061,S
0,0,male,0.459663,0,0.166667,0.057971,C
1,1,female,?,0,0,0.015127,Q
1,0,female,0.786378,0.125,0,0.152164,S
0,1,female,0.560191,0,0,0.015127,S
0,0.5,male,?,0,0,0,S
0,1,male,0.082684,0.5,0.166667,0.056848,Q
1,1,female,0.434531,0.125,0.166667,0.039525,S
0,1,male,0.81151,0,0,0.015127,Q
0,1,male,0.346569,0,0,0.01533,S
0,1,male,0.195778,0,0,0.018543,S
1,1,male,0.233476,0,0,0.015713,S
0,0,male,?,0,0,0.050749,S
0,1,male,0.409399,0,0,0.016908,C
1,1,male,0.371701,0,0,0.018543,S
0,1,male,0.271174,0,0,0.015412,S
1,0.5,male,0.522493,0,0,0.025374,S
1,1,female,0.271174,0,0,0.015127,Q
1,0,female,0.321438,0,0,0.153905,S
1,0,female,0.233476,0.125,0,0.177775,C
0,0.5,male,0.447097,0,0,0.02513,C
0,1,female,0.296306,0,0,0.017274,S
0,1,male,0.296306,0,0,0.015412,S
0,0,male,?,0,0,0.054107,C
0,1,male,0.290023,0,0,0.01411,C
0,0,female,0.019854,0.125,0.333333,0.295806,S
1,0,male,?,0,0,0.059532,S
1,0,female,0.623021,0,0.166667,0.483128,C
1,1,female,?,0,0,0.015127,Q
1,1,male,?,0.25,0,0.045381,Q
0,1,male,0.233476,0,0,0,S
1,0.5,female,?,0,0,0.024106,Q
0,1,male,?,0,0,0.015713,S
1,0,male,0.006283,0.125,0.333333,0.295806,S
1,0,female,?,0,0,0.21643,C
1,0,female,0.208344,0.125,0,0.212559,C
0,0.5,male,0.371701,0.125,0,0.046845,C
1,0,female,0.371701,0,0,0.111118,C
1,0,female,0.296306,0,0,0.162314,C
1,0,female,0.22091,0.25,0.333333,0.512122,C
0,0.5,female,0.321438,0.125,0.166667,0.050749,S
0,1,male,0.346569,0,0,0.015412,S
0,0.5,male,0.535059,0.125,0.166667,0.051237,S
1,1,female,0.321438,0,0,0.01533,S
1,0.5,female,0.296306,0.125,0,0.050749,S
0,0.5,male,0.673285,0,0,0.027326,S
1,0,female,0.384267,0,0.333333,0.321798,S
1,0,female,0.497361,0.125,0.166667,0.262527,C
0,1,male,0.271174,0,0,0.014151,S
0,1,male,0.334004,0,0,0.015412,S
1,0.5,female,0.371701,0,0,0.024106,Q
1,0.5,female,0.271174,0.125,0.166667,0.056604,S
0,1,male,?,1,0.333333,0.135753,S
1,0,female,0.447097,0,0,0.264739,C
0,1,male,0.761247,0,0,0.012175,S
1,0.5,female,0.447097,0,0,0.025374,S
1,1,female,0.384267,0.125,0.166667,0.040062,S
1,0,female,0.195778,0,0.166667,0.113168,C
1,1,female,?,0.25,0,0.045381,Q
0,0,male,0.566474,0,0,0.055628,S
0,0,male,0.472229,0,0.166667,0.299539,S
0,1,male,0.195778,0.25,0,0.035134,S
1,0,female,?,0.125,0,0.260867,S
0,1,male,?,0,0,0.015412,S
0,0,male,0.359135,0.125,0,0.129995,S
1,0,female,0.509927,0,0,0.262527,C
1,1,male,0.560191,0,0,0.015713,S
0,0,male,0.560191,0,0,0.069291,S
1,0.5,male,0.019854,0.125,0.166667,0.050749,S
1,0,female,0.296306,0.375,0.333333,0.513342,S
0,0.5,male,0.346569,0,0,0.025374,S
0,0.5,male,0.308872,0,0,0.025374,S
0,0.5,male,0.447097,0,0,0.025374,S
1,0.5,female,0.296306,0,0,0.025374,S
1,0.5,female,0.497361,0,0,0.025374,S
1,1,female,?,0.125,0,0.031425,S
1,1,male,0.03242,0.125,0.166667,0.031035,S
0,1,male,0.522493,0,0,0.016908,S
0,1,male,0.28374,0,0,0.018006,S
0,0,male,?,0,0,0.068315,S
0,1,male,0.183212,0.125,0.166667,0.01411,C
0,1,male,0.308872,0.125,0,0.034743,S
0,1,male,?,0,0,0.014102,C
0,1,male,0.346569,0,0,0.018543,S
1,0,female,0.271174,0,0.166667,0.107353,S
0,0.5,female,0.472229,0,0,0.025374,S
1,1,female,?,0,0,0.015379,Q
1,1,female,?,0,0,0.015379,Q
0,1,male,0.497361,0.125,0.666667,0.054457,S
0,0.5,male,0.359135,0.125,0,0.054107,C
0,1,female,0.560191,0,0.166667,0.028213,C
0,1,male,0.434531,0,0,0.013761,S
0,1,male,?,0.125,0,0.030254,Q
0,1,male,0.371701,0,0,0.014151,S
1,0,female,0.748681,0.125,0,0.146878,C
1,1,female,?,0,0,0.01411,C
1,1,female,?,0,0,0.015127,Q
1,0,female,0.296306,0,0,0.135265,C
1,0,male,0.308872,0.125,0,0.108215,C
0,1,male,0.22091,0.125,0,0.012679,S
0,1,male,0.233476,0,0,0.015713,S
0,0,male,0.271174,0,0,0.264739,C
0,1,female,0.03242,0.375,0.166667,0.041136,S
1,0,female,?,0.125,0,0.160387,C
1,1,female,0.271174,0,0,0.014151,S
0,0,male,0.334004,0,0.333333,0.412821,C
0,1,male,0.246042,0,0,0.007832,C
0,1,male,0.233476,0,0,0.015176,S
1,0,female,0.522493,0,0,0.444099,C
1,1,female,0.007288,0,0.333333,0.030726,C
0,1,male,0.396833,0,0,0.015469,S
1,0,female,0.434531,0.125,0,0.101497,S
0,1,male,?,0,0,0.015412,S
0,0.5,male,0.22091,0,0,0.143462,S
0,1,male,0.007288,0.625,0.333333,0.091543,S
1,0.5,female,0.447097,0,0,0.025374,S
0,1,male,?,0,0,0.015086,Q
1,0.5,female,0.208344,0,0,0.023422,C
1,0,male,0.447097,0.125,0.333333,0.234224,S
1,1,male,0.258608,0,0,0.015216,S
0,1,male,0.346569,0.25,0,0.015469,S
1,0,female,0.28374,0.125,0,0.221098,C
1,1,female,0.296306,0,0.333333,0.032596,S
0,1,male,0.271174,0,0,0.015216,S
0,1,female,0.384267,0,0,0.01533,S
0,0.5,male,0.572757,0,0,0.050749,S
0,0.5,male,0.28374,0,0,0.020495,S
1,0.5,female,0.346569,0,0,0.024691,S
1,1,male,0.484795,0,0,0.015469,S
0,1,male,0.321438,0,0,0.015713,S
0,1,female,0.258608,0.125,0,0.019177,S
0,1,male,0.346569,0.125,0,0.030937,S
0,1,female,0.246042,0,0,0.016908,S
0,0.5,male,0.421965,0.125,0,0.040989,S
0,1,male,0.635587,0,0,0.015127,S
1,0.5,male,0.03242,0.125,0.166667,0.036598,S
0,1,male,0.258608,0,0,0.015176,S
0,1,female,?,0.375,0.166667,0.049708,S
0,1,male,?,0,0,0.015412,S
0,1,male,?,0,0,0.013387,Q
1,0,female,0.409399,0.125,0,0.175668,Q
0,0.5,male,?,0,0,0,S
1,1,male,0.547625,0,0,0.015469,S
0,1,female,?,0,0,0.015713,S
1,0.5,female,0.421965,0.125,0.166667,0.063436,S
1,0.5,female,0.22091,0,0.333333,0.025374,S
0,0.5,male,0.371701,0,0,0.025374,S
0,1,female,0.120382,0,0.333333,0.047138,S
0,1,male,?,0,0,0.015412,C
0,1,male,0.258608,0,0,0.015094,Q
0,1,male,0.359135,0,0,0.015371,S
0,1,female,0.346569,0.125,0.166667,0.028107,S
0,1,male,0.22091,0.125,0.166667,0.039452,S
0,1,male,?,0,0,0.014151,S
1,0.5,female,0.346569,0.125,0,0.050749,S
1,0.5,female,0.233476,0,0,0.050749,S
0,1,male,?,0,0,0.015127,Q
1,1,male,0.396833,0,0,0.015713,S
1,0,male,0.346569,0,0,0.051822,S
1,1,female,?,0.125,0,0.031425,S
1,0.5,female,0.522493,0.125,0,0.050749,S
0,1,male,0.208344,0,0,0.013907,S
0,0,male,0.623021,0.125,0,0.10911,S
1,0,female,0.170646,0.125,0.333333,0.234224,S
0,1,female,0.258608,0.25,0.333333,0.067096,S
1,0.5,female,0.296306,0.25,0.5,0.036598,S
0,0,male,0.798944,0.125,0.666667,0.513342,S
0,0.5,male,0.384267,0,0,0.020495,S
1,0.5,female,0.560191,0.125,0.166667,0.051237,S
0,1,male,0.246042,0,0,0.018543,S
0,1,male,0.308872,0.125,0,0.015176,S
1,0.5,female,0.346569,0,0,0.025374,S
1,1,male,?,0,0,0.015835,S
1,0,male,0.044986,0,0.333333,0.159777,S
1,0.5,female,0.15808,0,0.166667,0.038061,S
1,0,male,0.421965,0,0,0.051822,S
1,1,female,0.057552,0.25,0.166667,0.03759,C
1,0,male,0.648153,0,0,0.059532,S
0,0.5,male,0.447097,0.125,0.333333,0.054164,S
0,1,male,?,0.125,0,0.038972,S
0,0,male,0.371701,0,0,0.054164,C
1,0,male,0.610455,0.125,0,0.17392,C
0,1,male,?,0,0,0.015713,S
1,1,male,0.359135,0,0,0.015412,C
0,0,male,0.81151,0,0,0.051822,S
1,0,female,?,0.125,0,0.101229,S
1,0.5,female,0.623021,0,0,0.020495,S
0,1,male,?,0,0,0.015127,Q
1,0,male,0.597889,0,0,0.051822,S
0,1,male,0.421965,0,0,0.015713,S
0,0,male,0.585323,0,0,0.075147,S
0,0.5,male,0.597889,0,0,0.025374,S
0,1,male,?,0,0,0.015713,S
0,1,male,0.472229,0,0,0.013761,S
0,0.5,male,?,0,0,0,S
0,0,male,0.698417,0,0,0.051822,S
0,1,male,?,0,0,0.015078,Q
1,1,female,0.004147,0.25,0.166667,0.03759,C
0,1,male,?,0,0,0.014151,S
0,1,male,0.472229,0,0,0.016908,S
1,0.5,female,0.409399,0.125,0.333333,0.054164,S
1,0.5,female,0.28374,0,0,0.02692,C
0,1,female,0.271174,0,0,0.019202,S
0,0,male,?,0,0,0.101497,S
0,0.5,male,0.421965,0.125,0,0.040989,S
0,1,male,0.359135,0.125,0,0.013752,S
0,1,male,0.271174,0,0,0.01468,S
1,1,female,0.019854,0,0.166667,0.023984,S
0,1,male,0.107816,0.625,0.333333,0.091543,S
0,0.5,male,?,0,0,0,S
0,1,male,0.623021,0,0,0.015713,S
1,1,female,0.786378,0,0,0.018714,S
1,0,male,0.308872,0.125,0,0.177775,C
0,1,female,?,0.375,0.166667,0.049708,S
1,0,female,0.434531,0.125,0,0.175668,S
0,0,male,0.723549,0,0,0.057971,C
0,1,male,0.371701,0,0,0.015713,S
1,1,male,0.107816,0.125,0.166667,0.031035,S
0,1,male,?,0.125,0,0.038972,S
0,1,male,0.258608,0,0,0.014151,S
0,0,male,0.685851,0,0,0.059532,S
0,0,male,0.886906,0,0,0.096626,C
0,1,male,0.258608,0,0,0.015713,S
0,1,male,?,0,0,0.028221,C
1,0,female,0.673285,0.125,0,0.152766,C
0,1,male,?,0,0,0.029473,S
0,0,female,0.308872,0.125,0.333333,0.295806,S
0,1,male,0.296306,0,0,0.015216,S
0,1,male,0.208344,0,0,0.016908,S
0,1,female,0.258608,0,0,0.015127,Q
0,1,female,?,0,0,0.014891,Q
0,1,female,0.459663,0,0,0.018714,S
1,0,female,0.195778,0,0,0.168837,S
0,0,male,0.22091,0.125,0,0.212559,C
1,0.5,female,0.409399,0,0.333333,0.050749,S
1,0,male,?,0,0,0.051822,S
0,1,male,0.346569,0,0,0.043966,S
1,1,male,0.321438,0,0,0.110272,S
1,1,male,0.359135,0,0,0.015127,Q
0,1,male,?,0,0,0.015713,S
1,0,male,0.447097,0,0,0.05131,S
1,0,female,0.673285,0.125,0,0.115941,C
0,1,male,0.296306,0,0,0.014631,S
0,0,male,0.585323,0,0,0.066404,S
1,0.5,female,0.421965,0,0,0.020495,S
0,1,male,?,0,0,0.047138,Q
1,0.5,female,0.447097,0.125,0,0.050749,S
0,1,male,0.396833,0,0,0.015412,S
1,0,female,0.371701,0,0,0.1825,S
0,1,male,0.271174,0,0,0.015412,S
0,1,male,?,0,0,0.014102,C
1,0,female,0.547625,0,0.166667,0.113168,C
0,1,male,?,0,0,0.01411,C
0,1,male,0.503644,0,0,0.015127,Q
1,0.5,female,0.623021,0,0,0.020495,S
0,0,male,?,0,0,0.432884,S
0,1,male,0.484795,0,0,0.015469,S
0,0.5,male,0.28374,0.25,0.166667,0.022447,S
1,0.5,female,0.019854,0.125,0.166667,0.050749,S
0,1,male,?,0,0,0.01411,C
0,1,male,0.208344,0.125,0.166667,0.01411,C
1,1,female,?,0,0.333333,0.04364,C
0,1,female,0.371701,0,0,0.016908,S
1,0.5,female,0.082684,0,0.333333,0.051237,S
0,0,male,0.560191,0,0,0.051822,S
1,0,female,0.371701,0,0,0.207728,C
0,1,male,?,0,0,0.028302,S
1,0,female,0.271174,0,0.333333,0.096618,C
1,0,female,0.447097,0,0.333333,0.138583,S
0,1,female,0.107816,0.5,0.333333,0.061045,S
0,1,female,0.132948,0.5,0.333333,0.061045,S
1,0.5,male,0.396833,0.125,0,0.050749,S
0,0,male,0.623021,0.125,0,0.207728,C
0,0,male,0.798944,0,0,0.050749,S
1,0.5,female,0.233476,0.125,0,0.050749,S
1,0.5,male,?,0,0,0.027058,C
0,1,male,0.409399,0.125,0.166667,0.040062,S
1,0.5,male,0.09525,0.125,0.166667,0.071731,S
1,0,male,0.208344,0,0.333333,0.21643,C
0,0.5,male,0.334004,0,0,0.050749,S
0,1,male,?,0,0,0.015282,Q
1,1,male,0.271174,0,0,0.014102,C
1,1,female,0.271174,0,0,0.015176,S
0,0,male,0.773813,0,0,0.051822,S
1,0,female,0.597889,0.125,0,0.077294,C
0,0,male,?,0,0,0.444099,C
1,0,female,0.484795,0.125,0.166667,0.155466,S
1,1,female,0.447097,0.125,0,0.033963,S
0,1,male,?,0,0,0.015127,Q
0,1,male,0.497361,0,0,0.015412,S
0,0.5,male,0.346569,0,0,0.02635,S
0,1,male,?,0,0,0.015713,S
0,1,female,?,0,0,0.015713,S
0,1,male,0.296306,0.25,0,0.047138,S
0,1,male,0.233476,0,0,0.015412,S
0,1,female,0.359135,0,0.666667,0.041136,S
0,1,male,?,0,0,0.01411,C
1,1,male,0.396833,0,0,0.01533,S
1,0.5,male,0.773813,0,0,0.020495,S
1,0,female,0.660719,0.25,0,0.100481,S
1,0,male,0.447097,0,0,0.051505,S
1,1,female,?,0,0,0.015127,Q
0,1,male,0.195778,0,0,0.015713,S
0,1,male,0.233476,0,0,0.028302,S
1,0.5,female,0.421965,0,0,0.025374,S
1,0,female,0.484795,0.125,0,0.10911,S
0,1,female,?,0.125,0,0.028221,C
1,1,male,0.396833,0,0,0.015469,S
1,0.5,female,0.308872,0.125,0.166667,0.058556,S
1,0,female,0.484795,0.125,0.166667,0.21643,C
0,0.5,male,0.673285,0,0,0.050749,S
0,0,male,0.447097,0,0,0.078319,C
0,1,male,?,0,0,0.017006,C
1,0,female,0.22091,0,0.333333,0.155466,S
0,0.5,male,0.585323,0,0,0.029278,S
