ID,year,mo,month,quarter,st,state,country,product,category,unit_price,unit,amount
27,2014,7,Jul,Q3,QU,Quebec,Canada,Laptop,Electronic,1000,49,49000
28,2013,4,Apr,Q2,CA,California,USA,Laptop,Electronic,1000,17,17000
29,2013,4,Apr,Q2,WA,Washington,USA,Tablet,Electronic,500,36,18000
30,2013,5,May,Q2,ON,Ontario,Canada,Chair,Furniture,120,25,3000
31,2013,2,Feb,Q1,NY,New York,USA,Laptop,Electronic,1000,44,44000
32,2013,9,Sep,Q3,CA,California,USA,Mattress,Furniture,800,28,22400
33,2013,1,Jan,Q1,CA,California,USA,Chair,Furniture,120,48,5760
34,2014,7,Jul,Q3,CA,California,USA,Chair,Furniture,120,20,2400
35,2013,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,64,7680
36,2013,6,Jun,Q2,WA,Washington,USA,Laptop,Electronic,1000,41,41000
37,2014,7,Jul,Q3,ON,Ontario,Canada,Chair,Furniture,120,22,2640
38,2014,5,May,Q2,NY,New York,USA,Laptop,Electronic,1000,49,49000
39,2013,7,Jul,Q3,NY,New York,USA,Laptop,Electronic,1000,54,54000
40,2013,4,Apr,Q2,CA,California,USA,Chair,Furniture,120,6,720
41,2014,3,Mar,Q1,QU,Quebec,Canada,Laptop,Electronic,1000,41,41000
42,2014,9,Sep,Q3,ON,Ontario,Canada,Laptop,Electronic,1000,11,11000
43,2014,6,Jun,Q2,ON,Ontario,Canada,Tablet,Electronic,500,64,32000
44,2013,2,Feb,Q1,QU,Quebec,Canada,Laptop,Electronic,1000,7,7000
45,2014,7,Jul,Q3,ON,Ontario,Canada,Tablet,Electronic,500,32,16000
46,2014,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,30,3600
47,2014,5,May,Q2,NY,New York,USA,Tablet,Electronic,500,7,3500
48,2014,1,Jan,Q1,CA,California,USA,Printer,Electronic,200,35,7000
49,2014,11,Nov,Q4,WA,Washington,USA,Printer,Electronic,200,48,9600
50,2013,2,Feb,Q1,NY,New York,USA,Mattress,Furniture,800,47,37600
51,2014,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,42,5040
52,2013,11,Nov,Q4,CA,California,USA,Mattress,Furniture,800,26,20800
53,2013,11,Nov,Q4,NY,New York,USA,Chair,Furniture,120,65,7800
54,2014,11,Nov,Q4,WA,Washington,USA,Tablet,Electronic,500,55,27500
55,2014,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,43,5160
56,2014,3,Mar,Q1,WA,Washington,USA,Tablet,Electronic,500,19,9500
57,2014,10,Oct,Q4,NY,New York,USA,Printer,Electronic,200,27,5400
58,2013,4,Apr,Q2,QU,Quebec,Canada,Chair,Furniture,120,57,6840
59,2013,11,Nov,Q4,WA,Washington,USA,Tablet,Electronic,500,64,32000
60,2013,6,Jun,Q2,CA,California,USA,Printer,Electronic,200,27,5400
61,2014,3,Mar,Q1,NY,New York,USA,Chair,Furniture,120,39,4680
62,2014,2,Feb,Q1,QU,Quebec,Canada,Chair,Furniture,120,33,3960
63,2014,6,Jun,Q2,CA,California,USA,Mattress,Furniture,800,49,39200
64,2013,5,May,Q2,QU,Quebec,Canada,Printer,Electronic,200,24,4800
65,2013,3,Mar,Q1,WA,Washington,USA,Chair,Furniture,120,14,1680
66,2014,10,Oct,Q4,NY,New York,USA,Tablet,Electronic,500,62,31000
67,2013,10,Oct,Q4,CA,California,USA,Chair,Furniture,120,41,4920
68,2014,5,May,Q2,CA,California,USA,Printer,Electronic,200,26,5200
69,2013,6,Jun,Q2,CA,California,USA,Tablet,Electronic,500,16,8000
70,2014,6,Jun,Q2,CA,California,USA,Tablet,Electronic,500,47,23500
71,2013,9,Sep,Q3,NY,New York,USA,Tablet,Electronic,500,44,22000
72,2013,10,Oct,Q4,CA,California,USA,Laptop,Electronic,1000,32,32000
73,2014,5,May,Q2,CA,California,USA,Tablet,Electronic,500,30,15000
74,2013,3,Mar,Q1,WA,Washington,USA,Chair,Furniture,120,9,1080
75,2013,5,May,Q2,QU,Quebec,Canada,Laptop,Electronic,1000,4,4000
76,2013,6,Jun,Q2,NY,New York,USA,Tablet,Electronic,500,16,8000
77,2014,11,Nov,Q4,WA,Washington,USA,Chair,Furniture,120,53,6360
78,2014,1,Jan,Q1,QU,Quebec,Canada,Chair,Furniture,120,22,2640
79,2013,9,Sep,Q3,NY,New York,USA,Tablet,Electronic,500,17,8500
80,2013,5,May,Q2,CA,California,USA,Mattress,Furniture,800,15,12000
81,2013,8,Aug,Q3,CA,California,USA,Printer,Electronic,200,47,9400
82,2014,4,Apr,Q2,CA,California,USA,Tablet,Electronic,500,14,7000
83,2014,6,Jun,Q2,QU,Quebec,Canada,Mattress,Furniture,800,24,19200
84,2013,10,Oct,Q4,QU,Quebec,Canada,Laptop,Electronic,1000,63,63000
85,2014,10,Oct,Q4,CA,California,USA,Chair,Furniture,120,10,1200
86,2014,4,Apr,Q2,CA,California,USA,Mattress,Furniture,800,29,23200
87,2013,1,Jan,Q1,QU,Quebec,Canada,Chair,Furniture,120,28,3360
88,2013,11,Nov,Q4,CA,California,USA,Tablet,Electronic,500,19,9500
89,2014,11,Nov,Q4,CA,California,USA,Mattress,Furniture,800,26,20800
90,2014,7,Jul,Q3,CA,California,USA,Tablet,Electronic,500,53,26500
91,2013,3,Mar,Q1,CA,California,USA,Chair,Furniture,120,52,6240
92,2014,3,Mar,Q1,NY,New York,USA,Chair,Furniture,120,33,3960
93,2013,7,Jul,Q3,WA,Washington,USA,Tablet,Electronic,500,60,30000
94,2013,2,Feb,Q1,WA,Washington,USA,Printer,Electronic,200,14,2800
95,2014,12,Dec,Q4,NY,New York,USA,Chair,Furniture,120,17,2040
96,2013,4,Apr,Q2,NY,New York,USA,Tablet,Electronic,500,30,15000
97,2014,4,Apr,Q2,NY,New York,USA,Tablet,Electronic,500,53,26500
98,2014,2,Feb,Q1,NY,New York,USA,Printer,Electronic,200,37,7400
99,2013,1,Jan,Q1,CA,California,USA,Chair,Furniture,120,28,3360
100,2013,11,Nov,Q4,CA,California,USA,Chair,Furniture,120,9,1080
101,2014,4,Apr,Q2,CA,California,USA,Laptop,Electronic,1000,1,1000
102,2013,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,57,6840
103,2014,1,Jan,Q1,NY,New York,USA,Chair,Furniture,120,17,2040
104,2013,2,Feb,Q1,NY,New York,USA,Chair,Furniture,120,35,4200
105,2013,9,Sep,Q3,QU,Quebec,Canada,Chair,Furniture,120,61,7320
106,2014,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,12,1440
107,2013,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,50,6000
108,2014,12,Dec,Q4,NY,New York,USA,Chair,Furniture,120,40,4800
109,2013,11,Nov,Q4,WA,Washington,USA,Chair,Furniture,120,33,3960
110,2014,12,Dec,Q4,NY,New York,USA,Mattress,Furniture,800,14,11200
111,2014,6,Jun,Q2,NY,New York,USA,Chair,Furniture,120,63,7560
112,2013,5,May,Q2,CA,California,USA,Chair,Furniture,120,31,3720
113,2013,11,Nov,Q4,NY,New York,USA,Chair,Furniture,120,0,0
114,2013,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,42,5040
115,2013,1,Jan,Q1,CA,California,USA,Chair,Furniture,120,66,7920
116,2013,6,Jun,Q2,NY,New York,USA,Chair,Furniture,120,39,4680
117,2013,3,Mar,Q1,NY,New York,USA,Chair,Furniture,120,41,4920
118,2014,12,Dec,Q4,NY,New York,USA,Chair,Furniture,120,4,480
119,2014,8,Aug,Q3,WA,Washington,USA,Mattress,Furniture,800,16,12800
120,2013,7,Jul,Q3,NY,New York,USA,Mattress,Furniture,800,8,6400
121,2014,5,May,Q2,ON,Ontario,Canada,Chair,Furniture,120,1,120
122,2013,6,Jun,Q2,NY,New York,USA,Tablet,Electronic,500,4,2000
123,2014,10,Oct,Q4,CA,California,USA,Chair,Furniture,120,58,6960
124,2013,4,Apr,Q2,CA,California,USA,Chair,Furniture,120,30,3600
125,2014,12,Dec,Q4,WA,Washington,USA,Chair,Furniture,120,3,360
126,2014,1,Jan,Q1,NY,New York,USA,Tablet,Electronic,500,64,32000
127,2014,12,Dec,Q4,CA,California,USA,Tablet,Electronic,500,33,16500
128,2014,10,Oct,Q4,CA,California,USA,Laptop,Electronic,1000,27,27000
129,2014,10,Oct,Q4,CA,California,USA,Tablet,Electronic,500,65,32500
130,2014,11,Nov,Q4,ON,Ontario,Canada,Chair,Furniture,120,6,720
131,2014,12,Dec,Q4,NY,New York,USA,Tablet,Electronic,500,55,27500
132,2013,4,Apr,Q2,WA,Washington,USA,Laptop,Electronic,1000,42,42000
133,2014,3,Mar,Q1,ON,Ontario,Canada,Tablet,Electronic,500,10,5000
134,2014,5,May,Q2,CA,California,USA,Tablet,Electronic,500,57,28500
135,2014,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,53,6360
136,2013,4,Apr,Q2,WA,Washington,USA,Chair,Furniture,120,47,5640
137,2014,3,Mar,Q1,ON,Ontario,Canada,Laptop,Electronic,1000,26,26000
138,2014,12,Dec,Q4,NY,New York,USA,Tablet,Electronic,500,64,32000
139,2014,10,Oct,Q4,CA,California,USA,Mattress,Furniture,800,19,15200
140,2014,12,Dec,Q4,WA,Washington,USA,Chair,Furniture,120,58,6960
141,2014,2,Feb,Q1,NY,New York,USA,Tablet,Electronic,500,35,17500
142,2014,7,Jul,Q3,WA,Washington,USA,Tablet,Electronic,500,1,500
143,2014,10,Oct,Q4,NY,New York,USA,Chair,Furniture,120,8,960
144,2013,6,Jun,Q2,WA,Washington,USA,Tablet,Electronic,500,3,1500
145,2014,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,21,2520
146,2013,5,May,Q2,NY,New York,USA,Laptop,Electronic,1000,39,39000
147,2013,1,Jan,Q1,NY,New York,USA,Chair,Furniture,120,56,6720
148,2014,8,Aug,Q3,ON,Ontario,Canada,Chair,Furniture,120,59,7080
149,2014,10,Oct,Q4,ON,Ontario,Canada,Tablet,Electronic,500,3,1500
150,2014,7,Jul,Q3,CA,California,USA,Tablet,Electronic,500,3,1500
151,2014,1,Jan,Q1,CA,California,USA,Chair,Furniture,120,8,960
152,2014,10,Oct,Q4,CA,California,USA,Tablet,Electronic,500,66,33000
153,2014,1,Jan,Q1,NY,New York,USA,Printer,Electronic,200,18,3600
154,2013,5,May,Q2,CA,California,USA,Tablet,Electronic,500,46,23000
155,2013,5,May,Q2,CA,California,USA,Laptop,Electronic,1000,33,33000
156,2014,11,Nov,Q4,QU,Quebec,Canada,Tablet,Electronic,500,12,6000
157,2014,10,Oct,Q4,CA,California,USA,Mattress,Furniture,800,31,24800
158,2014,12,Dec,Q4,ON,Ontario,Canada,Laptop,Electronic,1000,31,31000
159,2014,11,Nov,Q4,WA,Washington,USA,Chair,Furniture,120,50,6000
160,2014,9,Sep,Q3,NY,New York,USA,Chair,Furniture,120,63,7560
161,2013,2,Feb,Q1,QU,Quebec,Canada,Tablet,Electronic,500,37,18500
162,2014,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,9,1080
163,2014,11,Nov,Q4,CA,California,USA,Printer,Electronic,200,59,11800
164,2013,4,Apr,Q2,WA,Washington,USA,Laptop,Electronic,1000,33,33000
165,2014,10,Oct,Q4,NY,New York,USA,Chair,Furniture,120,17,2040
166,2014,3,Mar,Q1,QU,Quebec,Canada,Chair,Furniture,120,25,3000
167,2014,7,Jul,Q3,ON,Ontario,Canada,Chair,Furniture,120,11,1320
168,2013,7,Jul,Q3,NY,New York,USA,Mattress,Furniture,800,21,16800
169,2013,12,Dec,Q4,NY,New York,USA,Laptop,Electronic,1000,0,0
170,2013,1,Jan,Q1,NY,New York,USA,Chair,Furniture,120,63,7560
171,2014,2,Feb,Q1,NY,New York,USA,Chair,Furniture,120,60,7200
172,2014,9,Sep,Q3,CA,California,USA,Laptop,Electronic,1000,65,65000
173,2013,6,Jun,Q2,NY,New York,USA,Chair,Furniture,120,5,600
174,2013,11,Nov,Q4,ON,Ontario,Canada,Tablet,Electronic,500,65,32500
175,2014,3,Mar,Q1,NY,New York,USA,Chair,Furniture,120,47,5640
176,2013,5,May,Q2,CA,California,USA,Printer,Electronic,200,3,600
177,2014,4,Apr,Q2,QU,Quebec,Canada,Mattress,Furniture,800,33,26400
178,2014,12,Dec,Q4,NY,New York,USA,Laptop,Electronic,1000,56,56000
179,2013,8,Aug,Q3,WA,Washington,USA,Chair,Furniture,120,61,7320
180,2013,2,Feb,Q1,ON,Ontario,Canada,Laptop,Electronic,1000,13,13000
181,2014,5,May,Q2,NY,New York,USA,Printer,Electronic,200,60,12000
182,2014,6,Jun,Q2,CA,California,USA,Mattress,Furniture,800,8,6400
183,2013,12,Dec,Q4,CA,California,USA,Printer,Electronic,200,35,7000
184,2014,3,Mar,Q1,QU,Quebec,Canada,Chair,Furniture,120,31,3720
185,2014,6,Jun,Q2,QU,Quebec,Canada,Tablet,Electronic,500,66,33000
186,2013,3,Mar,Q1,WA,Washington,USA,Mattress,Furniture,800,33,26400
187,2014,1,Jan,Q1,QU,Quebec,Canada,Printer,Electronic,200,12,2400
188,2014,11,Nov,Q4,CA,California,USA,Mattress,Furniture,800,61,48800
189,2013,9,Sep,Q3,CA,California,USA,Tablet,Electronic,500,21,10500
190,2014,2,Feb,Q1,ON,Ontario,Canada,Laptop,Electronic,1000,10,10000
191,2013,10,Oct,Q4,NY,New York,USA,Chair,Furniture,120,36,4320
192,2014,7,Jul,Q3,NY,New York,USA,Mattress,Furniture,800,0,0
193,2013,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,14,1680
194,2014,11,Nov,Q4,ON,Ontario,Canada,Laptop,Electronic,1000,45,45000
195,2014,1,Jan,Q1,QU,Quebec,Canada,Tablet,Electronic,500,39,19500
196,2014,7,Jul,Q3,ON,Ontario,Canada,Mattress,Furniture,800,65,52000
197,2013,10,Oct,Q4,CA,California,USA,Chair,Furniture,120,40,4800
198,2013,1,Jan,Q1,ON,Ontario,Canada,Chair,Furniture,120,23,2760
199,2014,11,Nov,Q4,QU,Quebec,Canada,Chair,Furniture,120,24,2880
200,2013,11,Nov,Q4,CA,California,USA,Laptop,Electronic,1000,13,13000
201,2013,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,58,6960
202,2014,12,Dec,Q4,NY,New York,USA,Chair,Furniture,120,7,840
203,2013,1,Jan,Q1,NY,New York,USA,Printer,Electronic,200,48,9600
204,2013,6,Jun,Q2,CA,California,USA,Chair,Furniture,120,62,7440
205,2013,3,Mar,Q1,CA,California,USA,Chair,Furniture,120,46,5520
206,2013,9,Sep,Q3,WA,Washington,USA,Tablet,Electronic,500,25,12500
207,2014,7,Jul,Q3,NY,New York,USA,Laptop,Electronic,1000,57,57000
208,2014,5,May,Q2,CA,California,USA,Laptop,Electronic,1000,14,14000
209,2014,11,Nov,Q4,QU,Quebec,Canada,Tablet,Electronic,500,17,8500
210,2014,2,Feb,Q1,QU,Quebec,Canada,Tablet,Electronic,500,62,31000
211,2014,5,May,Q2,WA,Washington,USA,Chair,Furniture,120,37,4440
212,2013,12,Dec,Q4,NY,New York,USA,Tablet,Electronic,500,3,1500
213,2014,9,Sep,Q3,QU,Quebec,Canada,Tablet,Electronic,500,66,33000
214,2014,11,Nov,Q4,CA,California,USA,Chair,Furniture,120,6,720
215,2014,11,Nov,Q4,CA,California,USA,Tablet,Electronic,500,54,27000
216,2013,1,Jan,Q1,NY,New York,USA,Chair,Furniture,120,0,0
217,2014,3,Mar,Q1,ON,Ontario,Canada,Chair,Furniture,120,10,1200
218,2013,11,Nov,Q4,NY,New York,USA,Chair,Furniture,120,18,2160
219,2013,7,Jul,Q3,CA,California,USA,Chair,Furniture,120,15,1800
220,2014,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,38,4560
221,2013,11,Nov,Q4,NY,New York,USA,Chair,Furniture,120,32,3840
222,2013,9,Sep,Q3,QU,Quebec,Canada,Chair,Furniture,120,59,7080
223,2013,2,Feb,Q1,NY,New York,USA,Tablet,Electronic,500,32,16000
224,2013,10,Oct,Q4,QU,Quebec,Canada,Tablet,Electronic,500,55,27500
225,2013,2,Feb,Q1,CA,California,USA,Printer,Electronic,200,14,2800
226,2014,6,Jun,Q2,CA,California,USA,Mattress,Furniture,800,41,32800
227,2013,5,May,Q2,ON,Ontario,Canada,Printer,Electronic,200,16,3200
228,2014,7,Jul,Q3,ON,Ontario,Canada,Chair,Furniture,120,30,3600
229,2013,7,Jul,Q3,ON,Ontario,Canada,Laptop,Electronic,1000,5,5000
230,2014,9,Sep,Q3,NY,New York,USA,Tablet,Electronic,500,46,23000
231,2014,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,41,4920
232,2014,12,Dec,Q4,NY,New York,USA,Laptop,Electronic,1000,48,48000
233,2013,7,Jul,Q3,NY,New York,USA,Laptop,Electronic,1000,5,5000
234,2013,9,Sep,Q3,ON,Ontario,Canada,Mattress,Furniture,800,23,18400
235,2013,1,Jan,Q1,NY,New York,USA,Chair,Furniture,120,4,480
236,2014,6,Jun,Q2,WA,Washington,USA,Chair,Furniture,120,8,960
237,2014,8,Aug,Q3,ON,Ontario,Canada,Chair,Furniture,120,11,1320
238,2013,9,Sep,Q3,CA,California,USA,Tablet,Electronic,500,1,500
239,2013,12,Dec,Q4,ON,Ontario,Canada,Chair,Furniture,120,38,4560
240,2014,3,Mar,Q1,CA,California,USA,Chair,Furniture,120,10,1200
241,2013,7,Jul,Q3,CA,California,USA,Laptop,Electronic,1000,16,16000
242,2013,7,Jul,Q3,NY,New York,USA,Chair,Furniture,120,29,3480
243,2014,5,May,Q2,CA,California,USA,Chair,Furniture,120,7,840
244,2014,8,Aug,Q3,ON,Ontario,Canada,Laptop,Electronic,1000,1,1000
245,2014,3,Mar,Q1,ON,Ontario,Canada,Chair,Furniture,120,53,6360
246,2013,3,Mar,Q1,CA,California,USA,Laptop,Electronic,1000,13,13000
247,2014,5,May,Q2,CA,California,USA,Tablet,Electronic,500,55,27500
248,2013,12,Dec,Q4,CA,California,USA,Tablet,Electronic,500,56,28000
249,2014,2,Feb,Q1,CA,California,USA,Chair,Furniture,120,40,4800
250,2013,10,Oct,Q4,NY,New York,USA,Chair,Furniture,120,31,3720
251,2013,1,Jan,Q1,NY,New York,USA,Chair,Furniture,120,2,240
252,2014,12,Dec,Q4,QU,Quebec,Canada,Printer,Electronic,200,34,6800
253,2014,9,Sep,Q3,NY,New York,USA,Mattress,Furniture,800,64,51200
254,2014,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,15,1800
255,2013,1,Jan,Q1,NY,New York,USA,Laptop,Electronic,1000,50,50000
256,2014,12,Dec,Q4,QU,Quebec,Canada,Tablet,Electronic,500,56,28000
257,2013,4,Apr,Q2,NY,New York,USA,Chair,Furniture,120,63,7560
258,2014,2,Feb,Q1,QU,Quebec,Canada,Chair,Furniture,120,10,1200
259,2013,1,Jan,Q1,ON,Ontario,Canada,Chair,Furniture,120,15,1800
260,2014,5,May,Q2,CA,California,USA,Chair,Furniture,120,19,2280
261,2014,9,Sep,Q3,ON,Ontario,Canada,Chair,Furniture,120,30,3600
262,2013,8,Aug,Q3,NY,New York,USA,Printer,Electronic,200,25,5000
263,2014,12,Dec,Q4,ON,Ontario,Canada,Printer,Electronic,200,12,2400
264,2014,5,May,Q2,CA,California,USA,Tablet,Electronic,500,2,1000
265,2013,7,Jul,Q3,CA,California,USA,Laptop,Electronic,1000,5,5000
266,2014,3,Mar,Q1,NY,New York,USA,Laptop,Electronic,1000,51,51000
267,2014,11,Nov,Q4,NY,New York,USA,Printer,Electronic,200,64,12800
268,2014,12,Dec,Q4,WA,Washington,USA,Laptop,Electronic,1000,1,1000
269,2013,3,Mar,Q1,WA,Washington,USA,Chair,Furniture,120,15,1800
270,2014,4,Apr,Q2,WA,Washington,USA,Chair,Furniture,120,26,3120
271,2013,2,Feb,Q1,WA,Washington,USA,Chair,Furniture,120,4,480
272,2013,11,Nov,Q4,CA,California,USA,Tablet,Electronic,500,42,21000
273,2014,9,Sep,Q3,NY,New York,USA,Mattress,Furniture,800,48,38400
274,2013,11,Nov,Q4,WA,Washington,USA,Chair,Furniture,120,17,2040
275,2013,3,Mar,Q1,QU,Quebec,Canada,Chair,Furniture,120,10,1200
276,2013,2,Feb,Q1,CA,California,USA,Mattress,Furniture,800,48,38400
277,2014,4,Apr,Q2,CA,California,USA,Chair,Furniture,120,21,2520
278,2013,11,Nov,Q4,NY,New York,USA,Laptop,Electronic,1000,43,43000
279,2013,3,Mar,Q1,WA,Washington,USA,Chair,Furniture,120,13,1560
280,2013,5,May,Q2,ON,Ontario,Canada,Laptop,Electronic,1000,61,61000
281,2013,2,Feb,Q1,NY,New York,USA,Mattress,Furniture,800,32,25600
282,2013,7,Jul,Q3,NY,New York,USA,Chair,Furniture,120,45,5400
283,2014,11,Nov,Q4,NY,New York,USA,Tablet,Electronic,500,52,26000
284,2013,1,Jan,Q1,NY,New York,USA,Tablet,Electronic,500,33,16500
285,2014,4,Apr,Q2,NY,New York,USA,Laptop,Electronic,1000,63,63000
286,2014,1,Jan,Q1,ON,Ontario,Canada,Mattress,Furniture,800,30,24000
287,2014,9,Sep,Q3,ON,Ontario,Canada,Mattress,Furniture,800,7,5600
288,2014,3,Mar,Q1,ON,Ontario,Canada,Tablet,Electronic,500,25,12500
289,2014,5,May,Q2,NY,New York,USA,Tablet,Electronic,500,37,18500
290,2014,3,Mar,Q1,NY,New York,USA,Tablet,Electronic,500,52,26000
291,2014,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,39,4680
292,2014,1,Jan,Q1,WA,Washington,USA,Tablet,Electronic,500,50,25000
293,2014,3,Mar,Q1,ON,Ontario,Canada,Laptop,Electronic,1000,53,53000
294,2014,2,Feb,Q1,NY,New York,USA,Tablet,Electronic,500,63,31500
295,2014,5,May,Q2,NY,New York,USA,Chair,Furniture,120,24,2880
296,2013,4,Apr,Q2,WA,Washington,USA,Chair,Furniture,120,37,4440
297,2014,2,Feb,Q1,WA,Washington,USA,Chair,Furniture,120,9,1080
298,2013,5,May,Q2,QU,Quebec,Canada,Chair,Furniture,120,64,7680
299,2014,1,Jan,Q1,CA,California,USA,Chair,Furniture,120,2,240
300,2013,12,Dec,Q4,ON,Ontario,Canada,Mattress,Furniture,800,40,32000
301,2014,7,Jul,Q3,ON,Ontario,Canada,Tablet,Electronic,500,16,8000
302,2014,10,Oct,Q4,CA,California,USA,Laptop,Electronic,1000,39,39000
303,2014,3,Mar,Q1,WA,Washington,USA,Tablet,Electronic,500,35,17500
304,2013,11,Nov,Q4,ON,Ontario,Canada,Tablet,Electronic,500,4,2000
305,2013,1,Jan,Q1,WA,Washington,USA,Laptop,Electronic,1000,55,55000
306,2014,6,Jun,Q2,CA,California,USA,Chair,Furniture,120,20,2400
307,2014,5,May,Q2,WA,Washington,USA,Chair,Furniture,120,52,6240
308,2014,8,Aug,Q3,NY,New York,USA,Chair,Furniture,120,43,5160
309,2014,3,Mar,Q1,CA,California,USA,Tablet,Electronic,500,13,6500
310,2014,8,Aug,Q3,CA,California,USA,Tablet,Electronic,500,50,25000
311,2013,10,Oct,Q4,CA,California,USA,Laptop,Electronic,1000,47,47000
312,2013,9,Sep,Q3,CA,California,USA,Tablet,Electronic,500,58,29000
313,2013,6,Jun,Q2,NY,New York,USA,Tablet,Electronic,500,4,2000
314,2013,1,Jan,Q1,NY,New York,USA,Mattress,Furniture,800,32,25600
315,2013,9,Sep,Q3,CA,California,USA,Chair,Furniture,120,31,3720
316,2013,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,63,7560
317,2014,10,Oct,Q4,QU,Quebec,Canada,Chair,Furniture,120,61,7320
318,2013,5,May,Q2,ON,Ontario,Canada,Tablet,Electronic,500,46,23000
319,2013,10,Oct,Q4,WA,Washington,USA,Chair,Furniture,120,3,360
320,2013,10,Oct,Q4,CA,California,USA,Chair,Furniture,120,25,3000
321,2013,4,Apr,Q2,QU,Quebec,Canada,Chair,Furniture,120,12,1440
322,2014,3,Mar,Q1,ON,Ontario,Canada,Tablet,Electronic,500,27,13500
323,2013,10,Oct,Q4,QU,Quebec,Canada,Tablet,Electronic,500,29,14500
324,2013,2,Feb,Q1,CA,California,USA,Chair,Furniture,120,19,2280
325,2014,10,Oct,Q4,NY,New York,USA,Tablet,Electronic,500,42,21000
326,2014,8,Aug,Q3,NY,New York,USA,Chair,Furniture,120,23,2760
327,2014,9,Sep,Q3,ON,Ontario,Canada,Chair,Furniture,120,49,5880
328,2014,8,Aug,Q3,WA,Washington,USA,Tablet,Electronic,500,5,2500
329,2013,8,Aug,Q3,NY,New York,USA,Chair,Furniture,120,32,3840
330,2013,10,Oct,Q4,QU,Quebec,Canada,Chair,Furniture,120,35,4200
331,2014,2,Feb,Q1,ON,Ontario,Canada,Chair,Furniture,120,15,1800
332,2013,12,Dec,Q4,CA,California,USA,Chair,Furniture,120,13,1560
333,2014,12,Dec,Q4,NY,New York,USA,Tablet,Electronic,500,36,18000
334,2013,7,Jul,Q3,CA,California,USA,Tablet,Electronic,500,47,23500
335,2013,2,Feb,Q1,QU,Quebec,Canada,Tablet,Electronic,500,47,23500
336,2013,9,Sep,Q3,ON,Ontario,Canada,Chair,Furniture,120,40,4800
337,2013,8,Aug,Q3,WA,Washington,USA,Printer,Electronic,200,16,3200
338,2014,3,Mar,Q1,CA,California,USA,Tablet,Electronic,500,23,11500
339,2014,12,Dec,Q4,ON,Ontario,Canada,Chair,Furniture,120,49,5880
